Year,School Code,School Name,School Type,School Street,School City,School State,School Zip,School County,School District Name,District Code,Grades,Reported?,K-12 Enrolled,K-12 Exempt,K-12 % Exempt,K-12 Medical Exemption,K-12 % Medical Exemption,K-12 Personal Exemption,K-12 % Personal Exemption,K-12 Religious Exemption,K-12 % Religious Exemption,K-12 Exempt for DT/Td,K-12 Exempt for Pertussis,K-12 exempt for Polio,K-12 exempt for Measles,K-12 Exempt for Mumps,K-12 Exempt for Rubella,K-12 Exempt for Hep B,K-12 Exempt for Varicella
2011,3260,Bowdish Middle School,Public School,2109 S Skipworth Road,Spokane Valley,WA,99016,SPOKANE,Central Valley School District,32356,6-8,Yes,515,26,5.0%,0,0.0%,24,4.7%,2,0.4%,11,11,16,14,14,14,10,0
2011,4068,Boyer Clinic,Public School,1850 Boyer Ave E,Seattle,WA,98112,KING,Highline School District,17401,K-PK,No,,,,,,,,,,,,,,,,,
2011,3646,Boze,Public School,1140 E 65th St,Tacoma,WA,98404,PIERCE,Tacoma School District,27010,K-5,Yes,330,5,1.5%,0,0.0%,1,0.3%,4,1.2%,4,4,4,4,4,4,3,5
2011,4358,Breidablik Elementary,Public School,25142 WAGHORN RD NW,POULSBO,WA,98370,KITSAP,North Kitsap School District,18400,K-5,Yes,311,27,8.7%,2,0.6%,25,8.0%,0,0.0%,23,24,23,25,25,25,28,21
2011,3109,Bremerton High School,Public School,1500 13th Street,Bremerton,WA,98337,KITSAP,Bremerton School District,18100,9-12,Yes,1263,94,7.4%,4,0.3%,89,7.0%,1,0.1%,53,69,24,32,31,32,42,0
2011,3693,Brentwood Elementary School,Public School,406 W REGINA AVE,SPOKANE,WA,99218,SPOKANE,Mead School District,32354,K-6,Yes,597,48,8.0%,4,0.7%,43,7.2%,1,0.2%,26,26,24,26,26,26,22,33
2011,3293,Brewster Elementary School,Public School,P.O. BOX 97,BREWSTER,WA,98812,OKANOGAN,Brewster School District,24111,K-6,Yes,513,7,1.4%,3,0.6%,4,0.8%,0,0.0%,0,3,0,2,2,2,1,1
2011,2800,Brewster High School,Public School,P.O. BOX 97,BREWSTER,WA,98812,OKANOGAN,Brewster School District,24111,9-12,Yes,282,14,5.0%,0,0.0%,13,4.6%,1,0.4%,4,11,4,6,6,6,9,0
2011,4223,Brewster Junior High School,Public School,P.O. Box 97,BREWSTER,WA,98812,OKANOGAN,Brewster School District,24111,7-8,Yes,126,2,1.6%,1,0.8%,1,0.8%,0,0.0%,2,2,1,0,0,0,0,0
2011,2990,Briarcrest Elementary,Public School,2715 N.E. 158th Street,Shoreline,WA,98155,KING,Shoreline School District,17412,K-6,No,,,,,,,,,,,,,,,,,
2011,3440,Briarwood Elementary,Public School,17020 SE 134TH ST,RENTON,WA,98059,KING,Issaquah School District,17411,K-5,Yes,447,15,3.4%,3,0.7%,12,2.7%,0,0.0%,4,5,6,4,4,4,1,5
2011,1900,Bridgeport Aurora High School,Public School,P.O. BOX 1060,Bridgeport,WA,98813,DOUGLAS,Bridgeport School District,9075,9-12,No,,,,,,,,,,,,,,,,,
2011,2562,Bridgeport Elementary,Public School,P.O. Box 1060,Bridgeport,WA,98813,DOUGLAS,Bridgeport School District,9075,K-5,Yes,376,4,1.1%,1,0.3%,1,0.3%,2,0.5%,2,2,2,2,2,2,1,2
2011,2788,Bridgeport High School,Public School,BOX 1060,BRIDGEPORT,WA,98813,DOUGLAS,Bridgeport School District,9075,9-12,Yes,200,3,1.5%,1,0.5%,2,1.0%,0,0.0%,0,0,1,2,1,1,1,0
2011,4213,Bridgeport Middle School,Public School,PO Box 1060,Bridgeport,WA,98813,DOUGLAS,Bridgeport School District,9075,6-8,No,,,,,,,,,,,,,,,,,
2011,800D,Bridgeway Christian Academy,Private School,858 W Smith Rd,Bellingham,WA,98226,WHATCOM,Ferndale School District,37502,K-4,No,,,,,,,,,,,,,,,,,
2011,3536,Brier Elementary,Public School,3625 232ND ST SW,BRIER,WA,98036,SNOHOMISH,Edmonds School District,31015,K-6,Yes,392,36,9.2%,6,1.5%,30,7.7%,0,0.0%,21,22,23,23,23,23,17,22
2011,3650,Brier Terrace Middle School,Public School,22200 BRIER ROAD,BRIER,WA,98036,SNOHOMISH,Edmonds School District,31015,7-8,Yes,667,42,6.3%,3,0.4%,36,5.4%,3,0.4%,24,27,21,24,24,24,23,0
2011,3700,Brigadoon Elementary School,Public School,3601 SW 336th ST,Federal Way,WA,98023,KING,Federal Way School District,17210,K-5,Yes,269,18,6.7%,1,0.4%,14,5.2%,3,1.1%,15,15,15,13,13,13,13,10
2011,1497,Bright Futures Christian School,Private School,717 SE Everett Rd,Camas ,WA,98607,CLARK,Camas School District,6117,K-5,No,,,,,,,,,,,,,,,,,
2011,1422,Bright Water School,Private School,1501 Tenth Ave E  Suite 100,Seattle,WA,98102,KING,Seattle Public Schools,17001,K-8,No,,,,,,,,,,,,,,,,,
2011,8534,Brightmont Academy--Bellevue Campus,Private School,12360 NE 8th St  Suite 210,Bellevue,WA,98005,KING,Bellevue School District,17405,6-12,No,,,,,,,,,,,,,,,,,
2011,1406,Brightmont Academy--Sammamish Campus,Private School,711 228th Ave NE,Sammamish,WA,98074,KING,Lake Washington School District,17414,6-12,No,,,,,,,,,,,,,,,,,
2011,8384,Brightmont Academy--Seattle Campus,Private School,9750 Third Ave NE  Ste 102,Seattle,WA,98115,KING,Seattle Public Schools,17001,6-12,No,,,,,,,,,,,,,,,,,
2011,8727,Brighton School,Private School,6717 212th St SW,Lynnwood,WA,98036,SNOHOMISH,Edmonds School District,31015,K-8,No,,,,,,,,,,,,,,,,,
2011,2836,Brinnon Elementary,Public School,46 SCHOOLHOUSE RD,BRINNON,WA,98320,JEFFERSON,Brinnon School District,16046,K-8,No,,,,,,,,,,,,,,,,,
2011,3477,Broadview Elementary,Public School,473 SW Fairhaven Dr.,Oak Harbor,WA,98277,ISLAND,Oak Harbor School District,15201,K-5,Yes,491,35,7.1%,1,0.2%,34,6.9%,0,0.0%,22,22,20,22,22,22,19,15
2011,2209,Broadview-Thomson K_8 School,Public School,13052 GREENWOOD AV N,SEATTLE,WA,98133,KING,Seattle Public Schools,17001,K-8,Yes,657,31,4.7%,3,0.5%,27,4.1%,1,0.2%,20,20,16,5,5,5,23,5
